"","Total Number of reads for each species across all samples"
"Methanococcoides burtonii",84
"Methanococcoides methylutens",131
"Methanococcoides sp. LMO-1",194
"Methanohalobium evestigatum",138
"Methanohalophilus mahii",12
"Methanohalophilus portucalensis",10
"Methanolobus zinderi",206
"Methanomethylovorans hollandica",120
"Methanosalsum zhilinae",102
"Methanosarcina acetivorans",184
"Methanosarcina barkeri",644
"Methanosarcina flavescens",221
"Methanosarcina horonobensis",258
"Methanosarcina lacustris",123
"Methanosarcina mazei",738
"Methanosarcina siciliae",328
"Methanosarcina sp. MTP4",416
"Methanosarcina thermophila",24
"Methanosarcina vacuolata",73
"Methanothrix harundinacea",146
"Methanothrix soehngenii",100
"Methanothrix thermoacetophila",60
"Methanopyrus kandleri",24
"Palaeococcus pacificus",10
"Pyrococcus abyssi",48
"Pyrococcus horikoshii",12
"Pyrococcus kukulkanii",48
"Pyrococcus sp. NA2",34
"Pyrococcus sp. ST04",10
"Pyrococcus yayanosii",46
"Thermococcus aciditolerans",15
"Thermococcus barophilus",64
"Thermococcus barossii",16
"Thermococcus camini",161
"Thermococcus celer",61
"Thermococcus chitonophagus",14
"Thermococcus cleftensis",30
"Thermococcus eurythermalis",14
"Thermococcus gammatolerans",71
"Thermococcus gorgonarius",59
"Thermococcus guaymasensis",52
"Thermococcus henrietii",117
"Thermococcus indicus",32
"Thermococcus kodakarensis",156
"Thermococcus litoralis",117
"Thermococcus nautili",15
"Thermococcus onnurineus",60
"Thermococcus pacificus",46
"Thermococcus paralvinellae",12
"Thermococcus peptonophilus",41
"Thermococcus piezophilus",32
"Thermococcus profundus",30
"Thermococcus radiotolerans",34
"Thermococcus sibiricus",13
"Thermococcus siculi",191
"Thermococcus sp. 2319x1",47
"Thermococcus sp. 4557",20
"Thermococcus sp. 5-4",17
"Thermococcus sp. AM4",54
"Thermococcus sp. P6",22
"Thermococcus thioreducens",141
"Conexivisphaera calida",46
"Candidatus Nitrosotenuis cloacae",14
"Candidatus Nitrosopelagicus brevis",22
"Candidatus Nitrosotalea okcheonensis",22
"Nitrosarchaeum sp. AC2",46
"Nitrosopumilus adriaticus",56
"Nitrosopumilus Candidatus Nitrosopumilus sediminis",22
"Nitrosopumilus maritimus",21
"Nitrosopumilus oxyclinae",48
"Nitrosopumilus ureiphilus",54
"Candidatus Nitrosocosmicus franklandus",134
"Candidatus Nitrosocosmicus hydrocola",74
"Candidatus Nitrosocosmicus oleophilus",113
"Nitrososphaera Candidatus Nitrososphaera evergladensis",24
"Nitrososphaera Candidatus Nitrososphaera gargensis",28
"Nitrososphaera viennensis",58
"Acidisarcina polymorpha",512
"Acidobacterium capsulatum",390
"Acidobacterium sp. 4Y35",490
"Candidatus Koribacter versatilis",698
"Edaphobacter sp. 12200R-103",1037
"Edaphobacter sp. 4G125",316
"Granulicella mallensis",499
"Granulicella sp. 5B5",558
"Granulicella sp. WH15",621
"Granulicella tundricola",368
"Terriglobus albidus",502
"Terriglobus roseus",918
"Terriglobus saanensis",595
"Paludibaculum fermentans",1080
"Sulfidibacter corallicola",1024
"Thermotomaculum hydrothermale",224
"Luteitalea pratensis",946
"Luteitalea sp. TBR-22",1164
"Acidimicrobium ferrooxidans",218
"Actinomarinicola tropica",666
"Aquihabitans sp. G128",772
"Aquihabitans sp. Kera 3",782
"Iamia sp. SCSIO 61187",1020
"Ilumatobacter coccineus",678
"Acidothermus cellulolyticus",372
"Actinobaculum sp. 313",439
"Actinomyces faecalis",396
"Actinomyces gaoshouyii",221
"Actinomyces howellii",304
"Actinomyces lilanjuaniae",380
"Actinomyces marmotae",295
"Actinomyces naeslundii",1401
"Actinomyces oris",3873
"Actinomyces pacaensis",346
"Actinomyces procaprae",731
"Actinomyces qiguomingii",704
"Actinomyces radicidentis",1154
"Actinomyces respiraculi",528
"Actinomyces slackii",464
"Actinomyces sp. 432",651
"Actinomyces sp. Chiba101",284
"Actinomyces sp. HMT 175",114
"Actinomyces sp. HMT897",58
"Actinomyces sp. MAS-1",427
"Actinomyces sp. oral taxon 169",342
"Actinomyces sp. oral taxon 171",730
"Actinomyces sp. oral taxon 414",1602
"Actinomyces sp. oral taxon 897",481
"Actinomyces sp. Z16",866
"Actinomyces sp. zg-332",125
"Actinomyces trachealis",401
"Actinomyces viscosus",2691
"Actinomyces weissii",520
"Actinomyces wuliandei",261
"Actinotignum schaalii",454
"Arcanobacterium haemolyticum",880
"Arcanobacterium phocae",166
"Arcanobacterium phocisimile",353
"Arcanobacterium sp. 2701",122
"Boudabousia tangfeifanii",284
"Changpingibacter yushuensis",1002
"Fannyhessea vaginae",440
"Flaviflexus ciconiae",403
"Flaviflexus salsibiostraticola",1153
"Flaviflexus sp. dk850",548
"Mobiluncus curtisii",901
"Nanchangia anserum",392
"Pauljensenia hongkongensis",1403
"Schaalia cardiffensis",549
"Schaalia meyeri",692
"Schaalia odontolytica",1414
"Schaalia sp. 19OD2882",612
"Schaalia sp. JY-X169",312
"Schaalia sp. ZJ405",402
"Schaalia turicensis",1957
"Trueperella bialowiezensis",316
"Trueperella pecoris",871
"Trueperella pyogenes",2021
"Actinopolyspora erythraea",420
"Bifidobacterium actinocoloniiforme",1864
"Bifidobacterium adolescentis",275339
"Bifidobacterium angulatum",1826943
"Bifidobacterium animalis",35892
"Bifidobacterium asteroides",4128
"Bifidobacterium bifidum",62543
"Bifidobacterium breve",58971
"Bifidobacterium catenulatum",61752
"Bifidobacterium choerinum",20194
"Bifidobacterium coryneforme",317
"Bifidobacterium dentium",89342
"Bifidobacterium eulemuris",30892
"Bifidobacterium imperatoris",10222
"Bifidobacterium indicum",261
"Bifidobacterium lemurum",25539
"Bifidobacterium longum",166223
"Bifidobacterium pseudocatenulatum",120493
"Bifidobacterium pseudolongum",23438
"Bifidobacterium pullorum",37829
"Bifidobacterium saguini",11523
"Bifidobacterium scardovii",48326
"Bifidobacterium subtile",8704
"Bifidobacterium thermophilum",18218
"Gardnerella leopoldii",125
"Gardnerella vaginalis",871
"Parascardovia denticolens",1356
"Scardovia inopinata",398
"Candidatus Nanopelagicus abundans",22
"Candidatus Nanopelagicus hibericus",10
"Candidatus Nanopelagicus limnes",18
"Candidatus Planktophila dulcis",232
"Candidatus Planktophila lacus",230
"Candidatus Planktophila limnetica",133
"Candidatus Planktophila sulfonica",106
"Candidatus Planktophila vernalis",71
"Candidatus Planktophila versatilis",214
"Catenulispora acidiphila",1339
"Corynebacterium ammoniagenes",275
"Corynebacterium amycolatum",818
"Corynebacterium anserum",210
"Corynebacterium aquilae",448
"Corynebacterium argentoratense",172
"Corynebacterium atypicum",476
"Corynebacterium aurimucosum",701
"Corynebacterium bovis",356
"Corynebacterium callunae",375
"Corynebacterium camporealensis",366
"Corynebacterium casei",5408
"Corynebacterium choanae",274
"Corynebacterium comes",456
"Corynebacterium coyleae",391
"Corynebacterium crudilactis",1048
"Corynebacterium cyclohexanicum",673
"Corynebacterium cystitidis",270
"Corynebacterium deserti",524
"Corynebacterium diphtheriae",745
"Corynebacterium doosanense",974
"Corynebacterium efficiens",548
"Corynebacterium endometrii",333
"Corynebacterium epidermidicanis",242
"Corynebacterium falsenii",2325
"Corynebacterium flavescens",486
"Corynebacterium frankenforstense",626
"Corynebacterium freneyi",679
"Corynebacterium genitalium",503
"Corynebacterium gerontici",329
"Corynebacterium glaucum",379
"Corynebacterium glucuronolyticum",707
"Corynebacterium glutamicum",12948
"Corynebacterium glyciniphilum",692
"Corynebacterium halotolerans",380
"Corynebacterium hindlerae",57
"Corynebacterium humireducens",394
"Corynebacterium imitans",725
"Corynebacterium incognita",594
"Corynebacterium jeikeium",3812
"Corynebacterium kalinowskii",582
"Corynebacterium kefirresidentii",791
"Corynebacterium kroppenstedtii",583
"Corynebacterium kutscheri",212
"Corynebacterium lactis",708
"Corynebacterium liangguodongii",326
"Corynebacterium lizhenjunii",332
"Corynebacterium lujinxingii",571
"Corynebacterium macginleyi",415
"Corynebacterium marinum",566
"Corynebacterium maris",415
"Corynebacterium matruchotii",702
"Corynebacterium minutissimum",407
"Corynebacterium mustelae",176
"Corynebacterium mycetoides",401
"Corynebacterium nuruki",536
"Corynebacterium occultum",334
"Corynebacterium pelargi",208
"Corynebacterium phocae",324
"Corynebacterium propinquum",742
"Corynebacterium provencense",410
"Corynebacterium pseudopelargi",105
"Corynebacterium pseudotuberculosis",247
"Corynebacterium qintianiae",183
"Corynebacterium renale",415
"Corynebacterium resistens",976
"Corynebacterium riegelii",629
"Corynebacterium rouxii",194
"Corynebacterium sanguinis",417
"Corynebacterium segmentosum",222
"Corynebacterium silvaticum",189
"Corynebacterium simulans",1396
"Corynebacterium singulare",677
"Corynebacterium sp. 1864",73
"Corynebacterium sp. 4H37-19",152
"Corynebacterium sp. CNCTC7651",414
"Corynebacterium sp. FDAARGOS 1242",267
"Corynebacterium sp. NML98-0116",855
"Corynebacterium sp. sy039",164
"Corynebacterium sphenisci",546
"Corynebacterium stationis",305
"Corynebacterium striatum",2325
"Corynebacterium suranareeae",830
"Corynebacterium terpenotabidum",304
"Corynebacterium testudinoris",325
"Corynebacterium timonense",270
"Corynebacterium tuberculostearicum",2965
"Corynebacterium ulcerans",431
"Corynebacterium urealyticum",2265
"Corynebacterium ureicelerivorans",798
"Corynebacterium urogenitale",282
"Corynebacterium uterequi",460
"Corynebacterium variabile",8436
"Corynebacterium vitaeruminis",1022
"Corynebacterium xerosis",943
"Corynebacterium yudongzhengii",620
"Corynebacterium zhongnanshanii",316
"Dietzia lutea",297
"Dietzia psychralcaliphila",658
"Dietzia sp. oral taxon 368",795
"Dietzia timorensis",1394
"Tomitella gaofuii",430
"Gordonia ajococcus",71
"Gordonia alkanivorans",437
"Gordonia amarae",504
"Gordonia bronchialis",817
"Gordonia insulae",630
"Gordonia iterans",775
"Gordonia jinghuaiqii",380
"Gordonia otitidis",547
"Gordonia phthalatica",2022
"Gordonia polyisoprenivorans",1472
"Gordonia pseudoamarae",696
"Gordonia rubripertincta",1167
"Gordonia sp. JH63",199
"Gordonia sp. KTR9",489
"Gordonia sp. PDNC005",404
"Gordonia sp. WA4-43",595
"Gordonia sp. YC-JH1",2390
"Gordonia terrae",1410
"Gordonia zhaorongruii",374
"Skermania piniformis",444
"Lawsonella clevelandensis",534
"Hoyosella subflava",372
"Mycobacterium avium",1242
"Mycobacterium basiliense",368
"Mycobacterium branderi",803
"Mycobacterium canettii",401
"Mycobacterium colombiense",434
"Mycobacterium conspicuum",493
"Mycobacterium cookii",496
"Mycobacterium crocinum",213
"Mycobacterium diernhoferi",572
"Mycobacterium dioxanotrophicus",906
"Mycobacterium florentinum",320
"Mycobacterium frederiksbergense",972
"Mycobacterium goodii",581
"Mycobacterium gordonae",657
"Mycobacterium grossiae",806
"Mycobacterium haemophilum",244
"Mycobacterium heckeshornense",439
"Mycobacterium heidelbergense",382
"Mycobacterium holsaticum",504
"Mycobacterium intracellulare",1577
"Mycobacterium kansasii",483
"Mycobacterium koreense",703
"Mycobacterium kubicae",755
"Mycobacterium lacus",426
"Mycobacterium lentiflavum",540
"Mycobacterium leprae",164
"Mycobacterium lepromatosis",90
"Mycobacterium malmoense",308
"Mycobacterium mantenii",431
"Mycobacterium marinum",748
"Mycobacterium marseillense",389
"Mycobacterium noviomagense",378
"Mycobacterium novum",387
"Mycobacterium ostraviense",359
"Mycobacterium paragordonae",916
"Mycobacterium paraintracellulare",544
"Mycobacterium paraseoulense",338
"Mycobacterium paraterrae",386
"Mycobacterium parmense",829
"Mycobacterium riyadhense",566
"Mycobacterium rufum",670
"Mycobacterium saskatchewanense",776
"Mycobacterium senegalense",82
"Mycobacterium seoulense",307
"Mycobacterium shigaense",478
"Mycobacterium shinjukuense",504
"Mycobacterium shottsii",19
"Mycobacterium simiae",482
"Mycobacterium sp. DL440",586
"Mycobacterium sp. DL592",485
"Mycobacterium sp. EPa45",594
"Mycobacterium sp. IDR2000157661",776
"Mycobacterium sp. JS623",748
"Mycobacterium sp. MS1601",654
"Mycobacterium sp. PYR15",298
"Mycobacterium sp. TY59",481
"Mycobacterium sp. WY10",303
"Mycobacterium sp. YC-RL4",955
"Mycobacterium spongiae",426
"Mycobacterium stomatepiae",484
"Mycobacterium tuberculosis",451
"Mycobacterium ulcerans",284
"Mycobacterium vicinigordonae",388
"Mycobacterium virginiense",487
"Mycobacterium xenopi",398
"Mycobacteroides [Mycobacterium] stephanolepidis",277
"Mycobacteroides abscessus",1754
"Mycobacteroides chelonae",760
"Mycobacteroides immunogenum",446
"Mycobacteroides salmoniphilum",362
"Mycobacteroides saopaulense",267
"Mycolicibacillus parakoreensis",387
"Mycolicibacter hiberniae",414
"Mycolicibacter minnesotensis",454
"Mycolicibacter sinensis",1393
"Mycolicibacter sp. MYC017",468
"Mycolicibacter sp. MYC098",577
"Mycolicibacter sp. MYC101",30
"Mycolicibacter sp. MYC123",35
"Mycolicibacter sp. MYC340",482
"Mycolicibacter terrae",434
"Mycolicibacterium aichiense",460
"Mycolicibacterium alvei",424
"Mycolicibacterium anyangense",630
"Mycolicibacterium arabiense",698
"Mycolicibacterium aubagnense",443
"Mycolicibacterium aurum",598
"Mycolicibacterium austroafricanum",2428
"Mycolicibacterium baixiangningiae",582
"Mycolicibacterium boenickei",1073
"Mycolicibacterium celeriflavum",455
"Mycolicibacterium chitae",618
"Mycolicibacterium chubuense",574
"Mycolicibacterium confluentis",594
"Mycolicibacterium duvalii",641
"Mycolicibacterium fallax",690
"Mycolicibacterium farcinogenes",259
"Mycolicibacterium fluoranthenivorans",568
"Mycolicibacterium fortuitum",779
"Mycolicibacterium gadium",676
"Mycolicibacterium gilvum",636
"Mycolicibacterium hassiacum",597
"Mycolicibacterium helvum",526
"Mycolicibacterium insubricum",360
"Mycolicibacterium litorale",1206
"Mycolicibacterium madagascariense",734
"Mycolicibacterium mageritense",783
"Mycolicibacterium mengxianglii",410
"Mycolicibacterium monacense",679
"Mycolicibacterium moriokaense",532
"Mycolicibacterium mucogenicum",408
"Mycolicibacterium Mycobacterium doricum",330
"Mycolicibacterium neoaurum",1637
"Mycolicibacterium nivoides",90
"Mycolicibacterium parafortuitum",598
"Mycolicibacterium phlei",595
"Mycolicibacterium phocaicum",1016
"Mycolicibacterium poriferae",513
"Mycolicibacterium psychrotolerans",608
"Mycolicibacterium pulveris",382
"Mycolicibacterium rhodesiae",691
"Mycolicibacterium rutilum",775
"Mycolicibacterium sarraceniae",362
"Mycolicibacterium sediminis",820
"Mycolicibacterium septicum",247
"Mycolicibacterium smegmatis",914
"Mycolicibacterium sp. YH-1",720
"Mycolicibacterium thermoresistibile",537
"Mycolicibacterium tokaiense",654
"Mycolicibacterium vaccae",646
"Mycolicibacterium vanbaalenii",337
"Nocardia arthritidis",1059
"Nocardia asteroides",3908
"Nocardia brasiliensis",2115
"Nocardia cyriacigeorgica",2087
"Nocardia farcinica",2347
"Nocardia gipuzkoensis",822
"Nocardia huaxiensis",889
"Nocardia iowensis",638
"Nocardia mangyaensis",735
"Nocardia nova",838
"Nocardia otitidiscaviarum",840
"Nocardia seriolae",694
"Nocardia sp. CS682",1251
"Nocardia tengchongensis",777
"Nocardia terpenica",1576
"Nocardia wallacei",1290
"Nocardia yamanashiensis",774
"Nocardia yunnanensis",701
"Rhodococcus aetherivorans",866
"Rhodococcus coprophilus",698
"Rhodococcus erythropolis",1273
"Rhodococcus fascians",1606
"Rhodococcus globerulus",715
"Rhodococcus hoagii",1136
"Rhodococcus jostii",407
"Rhodococcus koreensis",485
"Rhodococcus opacus",2369
"Rhodococcus pyridinivorans",1865
"Rhodococcus qingshengii",1003
"Rhodococcus rhodochrous",838
"Rhodococcus ruber",966
"Rhodococcus sp. 21391",147
"Rhodococcus sp. 2G",207
"Rhodococcus sp. ABRD24",512
"Rhodococcus sp. B7740",370
"Rhodococcus sp. BH4",258
"Rhodococcus sp. DMU1",259
"Rhodococcus sp. H-CA8f",102
"Rhodococcus sp. LW-XY12",138
"Rhodococcus sp. M8",202
"Rhodococcus sp. MTM3W5.2",637
"Rhodococcus sp. P-2",83
"Rhodococcus sp. P1Y",431
"Rhodococcus sp. PBTS 1",632
"Rhodococcus sp. PSBB049",136
"Rhodococcus sp. R79",482
"Rhodococcus sp. RDE2",261
"Rhodococcus sp. S2-17",352
"Rhodococcus sp. SGAir0479",696
"Rhodococcus sp. USK10",438
"Rhodococcus sp. USK13",243
"Rhodococcus sp. W8901",732
"Rhodococcus sp. WAY2",565
"Rhodococcus sp. WB1",90
"Rhodococcus sp. WB9",83
"Rhodococcus sp. WMMA185",315
"Rhodococcus sp. X156",634
"Rhodococcus sp. YL-1",305
"Rhodococcus sp. ZPP",166
"Rhodococcus triatomae",700
"Segniliparus rotundus",448
"Tomitella fengzijianii",548
"Tsukamurella paurometabola",1318
"Tsukamurella pulmonis",504
"Tsukamurella tyrosinosolvens",873
"Frankia alni",864
"Frankia Candidatus Frankia datiscae",3940
"Frankia casuarinae",1526
"Frankia inefficax",1076
"Frankia sp. ArI3",620
"Frankia sp. QA3",651
"Blastococcus saxobsidens",675
"Geodermatophilus obscurus",783
"Modestobacter marinus",897
"Modestobacter sp. L9-4",780
"Natronoglycomyces albus",552
"Stackebrandtia nassauensis",1088
"Jatrophihabitans sp. GAS493",526
"Jiangella alkaliphila",1017
"Jiangella sp. DSM 45060",1263
"Kineococcus radiotolerans",895
"Beutenbergia cavernae",741
"Miniimonas sp. S16",2858
"Georgenia faecalis",606
"Georgenia wutianyii",615
"Georgenia yuyongxinii",559
"Brevibacterium atlanticum",352
"Brevibacterium aurantiacum",3053
"Brevibacterium casei",2529
"Brevibacterium limosum",545
"Brevibacterium linens",1833
"Brevibacterium luteolum",1184
"Brevibacterium oceani",449
"Brevibacterium pigmentatum",296
"Brevibacterium sandarakinum",406
"Brevibacterium siliguriense",196
"Brevibacterium sp. 'Marine'",270
"Brevibacterium sp. CS2",1368
"Brevibacterium sp. HY170",380
"Brevibacterium sp. JNUCC-42",115
"Brevibacterium sp. SMBL_HHYL_HB1",812
"Brevibacterium sp. W7.2",1349
"Actinotalea sp. JY-7876",646
"Cellulomonas fimi",746
"Cellulomonas flavigena",782
"Cellulomonas gilvus",1520
"Cellulomonas iranensis",1198
"Cellulomonas shaoxiangyii",699
"Cellulomonas sp. C5510",1471
"Cellulomonas sp. EW123",717
"Cellulomonas sp. H30R-01",891
"Cellulomonas sp. JZ18",648
"Cellulomonas sp. PSBB021",1126
"Cellulomonas sp. Y8",1586
"Cellulomonas sp. zg-ZUI157",592
"Cellulomonas sp. zg-ZUI188",794
"Cellulomonas sp. zg-ZUI222",844
"Cellulomonas taurus",1245
"Oerskovia sp. KBS0722",910
"Paraoerskovia marina",440
"Pseudactinotalea sp. HY158",494
"Brachybacterium avium",1459
"Brachybacterium faecium",1326
"Brachybacterium ginsengisoli",1685
"Brachybacterium saurashtrense",1731
"Brachybacterium sp. CBA3105",1105
"Brachybacterium sp. P6-10-X1",1140
"Brachybacterium sp. SGAir0954",10384
"Brachybacterium vulturis",654
"Dermabacter jinjuensis",2493
"Dermabacter vaginalis",2412
"Devriesea agamarum",342
"Allobranchiibius sp. GilTou73",500
"Dermacoccus nishinomiyaensis",1091
"Dermacoccus sp. PAMC28757",615
"Luteipulveratus mongoliensis",624
"Yimella sp. cx-51",973
"Austwickia chelonae",358
"Dermatophilus congolensis",252
"Gephyromycinifex aptenodytis",536
"Arsenicicoccus sp. oral taxon 190",1302
"Intrasporangium calvum",620
"Janibacter indicus",2923
"Janibacter limosus",1690
"Janibacter melonis",1195
"Janibacter sp. YB324",1207
"Luteimicrobium xylanilyticum",911
"Pedococcus dokdonensis",777
"Phycicoccus endophyticus",671
"Phycicoccus sp. HDW14",1263
"Tetrasphaera sp. HKS02",686
"Jonesia denitrificans",908
"Kytococcus sedentarius",862
"Agreia sp. COWG",441
"Agrococcus carbonis",2767
"Agrococcus jejuensis",1408
"Agrococcus sp. Marseille-Q4369",1665
"Agrococcus sp. SGAir0287",770
"Agromyces aureus",980
"Agromyces badenianii",633
"Agromyces flavus",664
"Agromyces intestinalis",809
"Agromyces laixinhei",1049
"Agromyces marinus",534
"Agromyces protaetiae",735
"Agromyces sp. G127AT",726
"Agromyces sp. LHK192",793
"Aquiluna borgnonia",78
"Aquiluna Candidatus Aquiluna sp. UB-MaderosW2red",90
"Aurantimicrobium minutum",339
"Aurantimicrobium photophilum",322
"Aurantimicrobium sp. MWH-Uga1",67
"Chryseoglobus indicus",162
"Chryseoglobus sp. 28M-23",244
"Clavibacter michiganensis",3910
"Clavibacter sp. A6099",307
"Clavibacter zhangzhiyongii",523
"Cnuibacter physcomitrellae",1186
"Cryobacterium arcticum",580
"Cryobacterium soli",817
"Cryobacterium sp. LW097",684
"Cryobacterium sp. PAMC25264",667
"Curtobacterium flaccumfaciens",1009
"Curtobacterium sp. 24E2",614
"Curtobacterium sp. BH-2-1-1",788
"Curtobacterium sp. C1",530
"Curtobacterium sp. Csp1",258
"Curtobacterium sp. Csp2",270
"Curtobacterium sp. L6-1",407
"Curtobacterium sp. MR_MD2014",463
"Curtobacterium sp. SGAir0471",297
"Curtobacterium sp. TC1",381
"Curtobacterium sp. TXMA1",515
"Curtobacterium sp. YC1",369
"Diaminobutyricimonas sp. LJ205",463
"Frigoribacterium sp. NBH87",794
"Frondihabitans sp. 762G35",424
"Frondihabitans sp. PAMC 28766",762
