"","MFMRCFS0322","MFMRCFS0422","MFMRCFS0522","MFMRCFS0622","MFMRCFS0722","MFMRCFS0822","MFMRCFS0922","MFMRCFS1022","MFMRCFS1122","MFMRCFS1222","MFMRCFS1322","MFMRCFS1422","MFMRCFS1522","MFMRCFS1622","MFMRCFS1722"
"Acidianus brierleyi",0,0,0,0,0,0,42,18,29,10,16,12,15,14,15
"Acidianus hospitalis",0,0,0,0,0,0,0,0,24,0,0,0,0,15,0
"Acidianus manzaensis",0,0,16,10,0,0,10,14,14,12,0,0,0,22,0
"Acidianus sp. HS-5",0,0,0,0,0,10,10,0,0,0,0,0,0,12,0
"Acidianus sulfidivorans",0,0,0,0,0,0,0,0,10,0,0,0,0,24,10
"Metallosphaera hakonensis",0,0,0,0,0,0,12,16,0,0,0,0,0,0,0
"Saccharolobus caldissimus",0,18,10,0,0,14,0,0,10,16,0,0,0,16,10
"Saccharolobus shibatae",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Saccharolobus solfataricus",0,0,0,0,0,0,0,0,0,0,0,11,0,20,0
"Stygiolobus sp. KN-1",0,12,10,0,0,0,0,0,16,0,0,0,12,14,0
"Sulfolobus acidocaldarius",0,0,0,0,0,0,10,0,0,12,0,0,0,0,0
"Sulfolobus islandicus",10,12,11,0,0,10,19,45,0,19,0,0,0,18,0
"Sulfolobus sp. A20",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"Sulfuracidifex tepidarius",0,0,0,0,0,0,0,14,0,0,0,0,14,0,0
"Sulfurisphaera tokodaii",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"Infirmifilum uzonense",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"Thermofilum pendens",22,10,0,0,0,0,28,0,0,0,0,0,0,0,0
"Caldivirga maquilingensis",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrobaculum arsenaticum",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrobaculum calidifontis",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Pyrobaculum ferrireducens",14,0,0,16,26,0,22,18,0,0,14,0,0,0,0
"Pyrobaculum neutrophilum",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Thermoproteus tenax",24,0,10,0,0,0,18,0,0,0,0,0,0,0,0
"Thermoproteus uzoniensis",16,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"Vulcanisaeta moutnovskia",0,0,0,0,0,0,10,0,10,12,0,10,0,0,0
"Archaeoglobus fulgidus",0,0,12,0,0,0,26,0,0,0,12,0,18,12,0
"Archaeoglobus profundus",0,0,0,0,0,0,16,10,0,0,0,0,0,0,0
"Archaeoglobus sulfaticallidus",10,0,0,0,0,0,0,10,0,16,0,0,0,0,0
"Archaeoglobus veneficus",0,0,0,0,0,0,12,0,0,0,10,0,0,0,0
"Ferroglobus placidus",0,0,0,0,0,0,14,12,0,0,0,0,0,12,0
"Geoglobus ahangari",22,0,14,0,0,0,0,0,10,0,0,0,10,0,0
"Halapricum desulfuricans",100,42,76,20,44,22,78,28,30,0,28,16,10,12,10
"Halapricum salinum",32,0,14,0,18,0,22,30,12,0,14,10,12,0,0
"Haloarcula marismortui",0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
"Haloarcula sinaiiensis",30,0,0,0,0,0,0,57,0,0,0,0,0,0,0
"Haloarcula sp. CBA1115",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haloarcula sp. JP-L23",52,18,20,12,18,16,62,76,36,12,70,20,16,0,0
"Haloarcula taiwanensis",27,36,40,0,0,0,58,14,0,0,30,0,0,0,0
"Halococcoides cellulosivorans",32,16,0,0,0,0,16,12,0,0,16,0,0,0,0
"Halomicrobium salinisoli",82,24,30,12,17,71,42,22,0,16,18,12,10,0,0
"Halomicrobium sp. LC1Hm",62,38,30,0,0,0,40,28,0,0,0,0,0,0,0
"Halorhabdus sp. CBA1104",22,0,14,0,0,16,16,10,0,0,18,0,0,12,0
"Halorhabdus tiamatea",60,43,33,0,0,0,0,21,0,0,0,0,39,0,0
"Halorhabdus utahensis",40,25,14,24,34,16,22,19,0,0,13,0,0,0,0
"Halorientalis sp. IM1011",34,0,20,0,18,0,40,24,0,0,16,0,0,0,0
"Halosiccatus urmianus",41,0,22,31,36,20,30,25,10,0,23,0,0,0,0
"Halosimplex litoreum",64,27,23,15,29,0,29,33,18,0,12,0,10,0,0
"Halosimplex pelagicum",94,45,56,13,62,0,43,24,19,0,19,0,0,0,0
"Halosimplex rubrum",79,50,61,20,97,0,31,13,0,0,0,28,23,0,0
"Natronomonas halophila",32,14,12,0,28,0,0,22,0,0,18,0,0,0,0
"Natronomonas moolapensis",20,14,10,0,14,0,24,10,0,0,0,10,0,0,0
"Natronomonas pharaonis",22,0,0,14,20,0,18,0,0,0,0,0,0,0,0
"Natronomonas salina",50,16,46,18,34,10,34,26,0,0,16,16,0,0,0
"Haladaptatus pallidirubidus",38,0,14,28,18,16,38,46,0,12,18,12,0,0,0
"Haladaptatus sp. PSR5",40,22,14,0,22,12,23,0,18,12,26,0,0,0,0
"Haladaptatus sp. PSR8",57,15,19,12,31,10,36,16,0,0,12,14,24,20,20
"Halalkalicoccus jeotgali",56,12,14,28,10,10,16,10,0,10,14,0,10,0,0
"Halanaeroarchaeum sulfurireducens",12,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Halarchaeum sp. CBA1220",50,12,25,24,10,0,33,18,16,0,28,10,0,0,0
"Halobacterium hubeiense",79,39,50,33,74,50,74,28,0,0,30,0,0,0,0
"Halobacterium litoreum",46,16,0,18,14,16,28,32,12,0,16,0,0,0,0
"Halobacterium noricense",31,16,0,0,0,0,58,82,48,0,50,0,0,0,0
"Halobacterium sp. DL1",71,0,47,30,41,0,50,38,0,0,0,0,0,0,0
"Halobacterium sp. Gai3-17",23,0,15,0,15,12,33,15,0,0,14,0,0,0,0
"Halobacterium sp. XZYJT26",21,0,14,14,18,23,19,11,0,0,0,0,0,0,0
"Halodesulfurarchaeum formicicum",34,10,0,0,16,0,16,26,12,0,12,0,0,0,0
"Halorussus halophilus",32,30,0,0,42,0,106,10,0,0,0,0,0,10,0
"Halorussus sp. RC-68",46,12,30,0,10,0,30,10,0,0,0,10,0,0,0
"Natranaeroarchaeum sulfidigenum",24,12,0,0,0,10,20,12,0,0,0,0,10,12,14
"Salarchaeum japonicum",57,0,0,28,48,0,46,18,0,0,27,0,0,0,0
"Salarchaeum sp. JOR-1",25,0,16,0,16,0,15,0,0,0,11,0,0,0,0
"Halobellus limi",46,23,21,26,26,35,23,19,43,0,18,0,0,0,0
"Haloferax alexandrinus",58,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Haloferax gibbonsii",50,28,46,18,31,0,45,0,0,0,26,20,0,0,0
"Haloferax mediterranei",32,19,20,11,21,0,33,0,28,0,20,0,0,0,0
"Halogeometricum borinquense",52,0,10,10,22,10,22,0,14,10,0,0,14,0,0
"Haloplanus aerogenes",40,10,41,10,0,18,34,23,10,0,14,0,0,0,0
"Haloplanus rallus",34,14,11,14,0,0,35,30,0,0,18,0,0,0,0
"Haloplanus rubicundus",85,16,24,17,18,0,29,27,0,0,18,12,0,16,0
"Haloprofundus sp. Gai1-5",48,26,17,30,10,11,23,11,0,0,12,0,0,0,0
"Haloprofundus sp. MHR1",33,0,18,0,16,14,24,20,0,0,15,0,0,0,0
"Haloprofundus sp. SEDH52",19,23,12,0,14,0,20,17,0,0,11,0,0,0,0
"Haloprofundus sp. SQT7-1",22,0,12,23,14,0,16,13,0,0,0,0,18,22,10
"Haloquadratum walsbyi",0,0,18,0,0,0,14,0,10,0,0,0,0,16,0
"Halalkaliarchaeum desulfuricum",22,56,26,0,26,0,16,10,0,0,10,0,0,0,0
"Halobaculum halophilum",44,22,16,20,16,12,20,18,20,0,16,12,0,0,0
"Halobaculum magnesiiphilum",78,63,42,29,19,22,53,40,0,0,0,0,0,0,0
"Halobaculum roseum",60,0,34,0,25,0,37,52,0,0,25,0,0,0,0
"Halobaculum rubrum",46,0,14,20,10,10,38,12,0,26,10,0,10,0,0
"Halobaculum salinum",60,18,40,14,32,22,28,36,0,10,22,28,12,0,0
"Halobaculum sp. CBA1158",52,0,16,0,12,14,34,32,0,0,15,20,0,0,0
"Halolamina sp. CBA1230",66,17,18,25,20,0,30,35,0,0,21,0,0,0,0
"Halopenitus persicus",34,10,10,0,18,0,16,28,12,0,10,0,0,0,0
"Halorubrum ezzemoulense",35,0,10,0,12,14,12,16,0,0,0,0,0,0,0
"Halorubrum lacusprofundi",68,34,0,23,19,0,54,37,0,0,24,29,0,0,0
"Halorubrum salinarum",30,22,14,12,15,0,18,25,18,0,0,0,0,0,0
"Halorubrum sodomense",18,0,17,23,24,0,28,0,0,0,0,0,0,0,0
"Halorubrum sp. 2020YC2",43,23,13,0,0,0,12,0,0,0,0,0,0,0,0
"Halorubrum sp. BOL3-1",24,0,0,10,0,0,28,0,0,0,10,0,0,0,0
"Halorubrum sp. CBA1229",61,0,0,18,54,15,11,25,0,0,21,0,0,16,0
"Halorubrum sp. PV6",18,11,20,19,10,0,18,16,12,0,15,0,0,0,0
"Halorubrum trapanicum",53,0,36,0,28,43,40,0,0,0,0,0,0,0,0
"Salinigranum rubrum",70,18,20,16,22,20,26,22,11,0,30,10,0,10,0
"Halobiforma lacisalsi",41,15,30,0,17,0,34,21,22,0,15,0,0,0,0
"Halopiger xanaduensis",30,10,0,16,17,0,31,21,14,0,17,0,10,0,0
"Halostagnicola larsenii",16,12,20,0,0,0,20,0,12,0,10,0,0,0,0
"Haloterrigena daqingensis",32,21,16,14,0,0,18,11,0,0,15,0,0,0,0
"Haloterrigena longa",22,16,13,0,24,15,0,27,0,0,18,0,0,0,0
"Haloterrigena salifodinae",39,15,0,36,13,0,53,25,0,0,14,13,0,0,0
"Haloterrigena sp. KZCA68",43,22,17,19,0,0,13,12,0,0,13,0,0,0,0
"Haloterrigena sp. YPL8",28,10,22,10,26,10,27,16,0,0,12,0,12,24,0
"Haloterrigena turkmenica",30,28,24,0,36,28,17,35,24,26,18,0,0,0,0
"Halovivax ruber",20,0,0,0,14,0,10,12,0,0,0,0,0,0,0
"Halovivax sp. KZCA124",38,10,0,18,14,24,22,16,12,0,10,10,0,0,0
"Natrarchaeobaculum aegyptiacum",54,12,24,22,20,10,14,0,0,0,0,0,0,0,0
"Natrarchaeobaculum sulfurireducens",28,26,14,12,12,0,12,12,12,0,0,0,0,0,0
"Natrialba magadii",43,0,31,17,16,14,13,20,13,0,17,0,12,0,0
"Natrinema pallidum",19,16,13,0,66,0,20,0,0,0,0,12,0,0,0
"Natrinema pellirubrum",55,22,14,24,19,26,21,24,0,0,29,0,0,0,0
"Natrinema sp. DC36",50,12,16,0,0,0,18,17,18,0,29,0,0,0,0
"Natrinema sp. J7-2",0,0,10,13,13,15,14,12,0,12,0,0,0,0,0
"Natrinema sp. SLN56",34,11,17,13,12,0,24,30,13,0,21,17,0,0,0
"Natrinema sp. SYSU A 869",45,16,14,15,0,11,36,0,10,0,0,0,0,0,0
"Natrinema sp. YPL30",53,10,46,11,14,33,41,15,23,12,11,11,0,0,0
"Natrinema versiforme",44,0,27,0,21,16,36,0,22,0,21,22,0,22,0
"Natronobacterium gregoryi",47,20,14,10,0,14,20,14,0,0,20,0,0,0,0
"Natronococcus occultus",62,0,36,24,12,12,28,22,0,0,14,12,0,0,0
"Natronorubrum aibiense",29,14,0,0,16,0,0,12,0,0,10,0,0,0,0
"Natronorubrum bangense",30,23,10,0,10,0,0,15,0,0,13,0,16,13,0
"Salinarchaeum sp. Harcht-Bsk1",34,12,10,0,16,0,20,20,20,12,10,10,0,10,0
"Salinarchaeum sp. IM2453",12,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Methanobacterium congolense",0,10,0,0,10,0,20,18,0,0,18,0,0,20,14
"Methanobacterium formicicum",26,20,20,0,0,0,28,0,0,0,0,0,0,0,0
"Methanobacterium lacus",0,0,0,0,0,0,18,0,10,0,0,0,0,14,0
"Methanobacterium paludis",0,0,0,0,0,0,16,12,18,14,0,0,0,18,0
"Methanobacterium sp. MethCAN",0,0,0,0,0,0,0,0,12,12,0,10,12,18,0
"Methanobrevibacter arboriphilus",16,24,10,0,0,0,32,24,18,12,18,10,18,28,18
"Methanobrevibacter millerae",0,10,14,16,0,0,40,20,16,10,10,18,0,36,21
"Methanobrevibacter olleyae",0,34,0,0,0,0,14,17,58,44,0,0,12,32,16
"Methanobrevibacter ruminantium",0,16,16,10,0,16,22,16,26,10,16,10,10,18,14
"Methanobrevibacter smithii",0,22,14,20,0,12,40,22,14,20,24,0,14,0,0
"Methanobrevibacter sp. AbM4",10,0,0,0,0,0,38,26,14,0,12,10,0,20,10
"Methanobrevibacter sp. YE315",0,0,10,0,0,12,24,13,22,0,0,0,10,0,0
"Methanosphaera sp. BMS",0,16,14,0,0,0,36,0,18,12,0,0,10,14,0
"Methanosphaera stadtmanae",12,10,0,0,0,0,16,16,0,0,10,0,24,10,14
"Methanothermobacter marburgensis",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Methanothermobacter sp. THM-1",0,0,0,0,0,0,0,0,0,0,0,18,0,18,0
"Methanothermus fervidus",0,10,0,0,0,0,0,0,12,12,0,0,0,0,0
"Methanocaldococcus bathoardescens",0,0,0,0,0,0,23,0,10,0,0,0,0,0,0
"Methanocaldococcus fervens",0,0,0,0,0,0,12,0,0,0,0,0,10,18,0
"Methanocaldococcus infernus",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"Methanocaldococcus jannaschii",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Methanocaldococcus sp. FS406-22",0,0,0,0,0,0,17,0,0,0,0,0,12,19,0
"Methanocaldococcus sp. SG7",0,0,0,0,0,0,18,0,0,0,10,0,0,0,0
"Methanocaldococcus vulcanius",0,0,0,0,0,10,0,0,16,0,0,0,0,14,0
"Methanofervidicoccus sp. A16",0,0,0,0,0,0,12,0,0,0,0,0,0,16,0
"Methanotorris igneus",18,0,0,0,0,0,20,20,10,0,12,0,0,10,14
"Methanococcus aeolicus",0,0,0,0,0,0,20,14,14,12,0,10,12,24,18
"Methanococcus maripaludis",20,44,22,20,0,0,44,22,58,30,30,14,20,40,18
"Methanococcus vannielii",14,0,10,12,0,12,29,13,22,0,0,0,18,12,0
"Methanothermococcus okinawensis",0,14,12,0,0,0,22,36,12,0,40,0,10,12,0
"Methanocella arvoryzae",58,14,22,18,30,14,44,26,14,0,16,12,0,0,0
"Methanocella conradii",38,12,14,12,10,0,0,14,0,0,0,0,18,34,26
"Methanocella paludicola",30,0,0,0,14,0,14,18,10,0,20,0,0,0,0
"Methanocorpusculum labreanum",14,18,14,10,18,22,16,30,0,10,32,0,0,0,0
"Methanoculleus bourgensis",51,0,12,13,32,26,49,24,15,12,26,18,0,12,0
"Methanoculleus chikugoensis",47,15,20,14,0,22,16,0,0,0,0,0,0,0,0
"Methanoculleus marisnigri",39,12,48,0,0,10,0,13,0,0,15,0,0,0,0
"Methanofollis formosanus",44,10,14,10,12,10,32,10,0,0,12,12,0,0,0
"Methanofollis liminatans",60,20,10,22,16,0,24,14,12,0,0,0,0,0,0
"Methanolacinia petrolearia",16,0,0,26,20,0,16,12,10,0,0,0,0,16,0
"Methanoplanus limicola",44,12,18,0,14,0,22,34,16,10,24,10,12,20,14
"Methanoregula boonei",22,0,24,12,18,0,20,10,0,0,0,0,0,0,0
"Methanoregula formicica",74,18,0,10,20,0,28,0,0,10,0,0,0,0,0
"Methanosphaerula palustris",70,10,14,18,32,16,36,32,0,0,28,0,0,10,0
"Methanospirillum hungatei",24,30,24,0,0,0,40,32,24,18,0,22,18,20,10
"Methanospirillum sp. J.3.6.1-F.2.7.3",0,0,0,0,0,14,0,0,15,0,0,0,0,0,0
"Methanococcoides burtonii",14,0,0,0,0,0,24,32,0,0,14,0,0,0,0
"Methanococcoides methylutens",10,14,10,0,0,0,19,14,14,14,10,0,12,14,0
"Methanococcoides sp. LMO-1",0,22,26,12,0,10,14,32,12,12,30,10,0,14,0
"Methanohalobium evestigatum",66,12,0,0,0,0,16,12,18,0,14,0,0,0,0
"Methanohalophilus mahii",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Methanohalophilus portucalensis",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Methanolobus zinderi",20,28,14,12,0,16,24,10,20,10,20,0,16,16,0
"Methanomethylovorans hollandica",18,10,0,10,0,0,10,0,16,0,0,0,18,20,18
"Methanosalsum zhilinae",24,22,0,0,0,0,24,12,20,0,0,0,0,0,0
"Methanosarcina acetivorans",43,12,0,14,0,0,37,0,0,10,13,16,18,21,0
"Methanosarcina barkeri",56,38,50,24,32,32,90,57,71,30,59,22,37,33,13
"Methanosarcina flavescens",0,55,0,0,0,0,80,0,0,29,0,57,0,0,0
"Methanosarcina horonobensis",31,14,41,15,0,0,20,27,23,28,12,20,17,10,0
"Methanosarcina lacustris",21,0,0,0,0,0,23,31,0,10,11,0,0,27,0
"Methanosarcina mazei",78,37,33,37,0,0,147,79,73,26,76,36,30,53,33
"Methanosarcina siciliae",34,0,19,13,33,37,24,42,14,14,25,27,15,14,17
"Methanosarcina sp. MTP4",64,24,20,28,0,22,90,38,30,22,24,18,24,12,0
"Methanosarcina thermophila",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"Methanosarcina vacuolata",0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
"Methanothrix harundinacea",38,0,14,0,46,0,24,12,0,0,12,0,0,0,0
"Methanothrix soehngenii",28,0,24,10,12,0,0,16,0,0,10,0,0,0,0
"Methanothrix thermoacetophila",24,0,0,10,12,0,14,0,0,0,0,0,0,0,0
"Methanopyrus kandleri",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palaeococcus pacificus",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Pyrococcus abyssi",0,14,0,0,0,0,0,0,0,0,0,0,0,24,10
"Pyrococcus horikoshii",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrococcus kukulkanii",18,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"Pyrococcus sp. NA2",0,0,0,12,0,0,0,10,0,0,0,12,0,0,0
"Pyrococcus sp. ST04",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Pyrococcus yayanosii",0,16,0,0,18,12,0,0,0,0,0,0,0,0,0
"Thermococcus aciditolerans",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus barophilus",0,0,0,0,0,0,16,0,0,14,0,17,17,0,0
"Thermococcus barossii",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Thermococcus camini",0,81,29,0,34,0,17,0,0,0,0,0,0,0,0
"Thermococcus celer",0,10,0,0,0,0,25,12,0,0,14,0,0,0,0
"Thermococcus chitonophagus",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"Thermococcus cleftensis",17,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Thermococcus eurythermalis",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus gammatolerans",0,0,0,0,39,0,11,0,10,11,0,0,0,0,0
"Thermococcus gorgonarius",21,0,0,0,25,0,0,0,0,0,0,0,0,13,0
"Thermococcus guaymasensis",0,0,15,0,0,12,12,0,13,0,0,0,0,0,0
"Thermococcus henrietii",47,13,11,46,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus indicus",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus kodakarensis",30,0,23,27,14,0,51,11,0,0,0,0,0,0,0
"Thermococcus litoralis",0,0,0,0,0,22,0,26,43,0,0,0,26,0,0
"Thermococcus nautili",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus onnurineus",0,0,20,0,28,0,12,0,0,0,0,0,0,0,0
"Thermococcus pacificus",22,0,12,0,0,0,12,0,0,0,0,0,0,0,0
"Thermococcus paralvinellae",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Thermococcus peptonophilus",29,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Thermococcus piezophilus",0,0,10,0,0,0,22,0,0,0,0,0,0,0,0
"Thermococcus profundus",18,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Thermococcus radiotolerans",0,0,0,0,0,0,0,18,0,16,0,0,0,0,0
"Thermococcus sibiricus",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Thermococcus siculi",29,13,12,16,14,0,41,16,0,0,28,22,0,0,0
"Thermococcus sp. 2319x1",0,0,13,0,0,0,34,0,0,0,0,0,0,0,0
"Thermococcus sp. 4557",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus sp. 5-4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermococcus sp. AM4",26,0,0,0,15,0,13,0,0,0,0,0,0,0,0
"Thermococcus sp. P6",12,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Thermococcus thioreducens",42,0,0,0,16,17,19,12,0,0,35,0,0,0,0
"Conexivisphaera calida",24,0,0,10,0,0,12,0,0,0,0,0,0,0,0
"Candidatus Nitrosotenuis cloacae",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Nitrosopelagicus brevis",0,0,0,0,0,0,0,12,10,0,0,0,0,0,0
"Candidatus Nitrosotalea okcheonensis",0,12,0,0,0,0,0,0,0,0,0,0,0,10,0
"Nitrosarchaeum sp. AC2",0,0,0,0,0,0,24,10,0,0,0,0,0,12,0
"Nitrosopumilus adriaticus",0,0,0,0,0,0,46,0,0,0,0,0,0,10,0
"Nitrosopumilus Candidatus Nitrosopumilus sediminis",0,0,0,0,0,0,11,0,0,0,0,0,0,11,0
"Nitrosopumilus maritimus",0,0,0,0,0,0,0,0,10,0,0,0,0,11,0
"Nitrosopumilus oxyclinae",11,0,0,0,0,0,0,0,0,0,0,0,16,21,0
"Nitrosopumilus ureiphilus",12,0,0,0,0,0,12,0,16,0,14,0,0,0,0
"Candidatus Nitrosocosmicus franklandus",48,0,0,16,0,0,10,16,14,10,10,0,0,10,0
"Candidatus Nitrosocosmicus hydrocola",22,10,0,0,0,0,0,10,0,0,14,0,0,18,0
"Candidatus Nitrosocosmicus oleophilus",0,0,0,0,0,0,16,47,22,0,0,0,0,28,0
"Nitrososphaera Candidatus Nitrososphaera evergladensis",14,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Nitrososphaera Candidatus Nitrososphaera gargensis",0,0,0,0,0,0,16,0,0,0,0,12,0,0,0
"Nitrososphaera viennensis",48,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Acidisarcina polymorpha",114,46,32,36,48,12,72,38,18,0,18,28,34,16,0
"Acidobacterium capsulatum",46,24,38,32,32,20,70,20,16,0,24,36,12,20,0
"Acidobacterium sp. 4Y35",128,38,38,24,32,16,64,34,34,0,32,18,18,14,0
"Candidatus Koribacter versatilis",100,38,42,40,64,32,124,66,22,16,52,34,42,14,12
"Edaphobacter sp. 12200R-103",228,138,86,40,48,53,80,92,18,15,73,24,69,44,29
"Edaphobacter sp. 4G125",56,26,12,14,42,16,36,34,12,16,24,14,14,0,0
"Granulicella mallensis",103,37,29,23,42,11,90,56,24,18,29,14,13,0,10
"Granulicella sp. 5B5",89,62,57,26,53,18,59,42,62,30,20,20,10,0,10
"Granulicella sp. WH15",90,32,32,26,56,19,120,48,57,24,40,16,27,24,10
"Granulicella tundricola",30,30,55,30,18,23,52,28,26,10,28,18,20,0,0
"Terriglobus albidus",84,30,50,22,18,36,90,20,24,22,22,26,22,24,12
"Terriglobus roseus",122,67,80,46,60,56,135,76,38,44,54,36,40,50,14
"Terriglobus saanensis",68,36,37,26,42,170,54,46,30,16,24,18,16,12,0
"Paludibaculum fermentans",156,34,76,68,96,48,232,152,16,18,72,48,24,26,14
"Sulfidibacter corallicola",152,64,66,52,78,42,188,100,60,28,70,34,26,34,30
"Thermotomaculum hydrothermale",16,22,0,10,0,0,82,30,14,0,24,12,14,0,0
"Luteitalea pratensis",120,44,68,40,46,30,240,87,35,65,71,28,50,22,0
"Luteitalea sp. TBR-22",199,58,91,51,54,57,259,100,22,68,86,21,58,18,22
"Acidimicrobium ferrooxidans",38,20,12,10,16,12,40,16,14,0,14,14,0,0,12
"Actinomarinicola tropica",110,42,42,54,32,52,88,62,38,54,44,20,18,10,0
"Aquihabitans sp. G128",106,34,48,28,74,32,148,40,32,108,26,42,28,12,14
"Aquihabitans sp. Kera 3",134,30,60,48,70,36,170,50,22,54,54,14,30,0,10
"Iamia sp. SCSIO 61187",148,74,108,20,86,24,212,54,52,144,44,26,18,10,0
"Ilumatobacter coccineus",120,54,64,46,88,16,98,44,38,22,38,20,18,0,12
"Acidothermus cellulolyticus",54,68,32,10,28,10,78,32,0,14,36,0,10,0,0
"Actinobaculum sp. 313",60,40,48,26,39,26,49,37,28,18,28,0,27,0,13
"Actinomyces faecalis",54,38,36,30,24,14,42,34,26,26,24,0,38,10,0
"Actinomyces gaoshouyii",33,20,26,18,26,14,16,30,12,0,26,0,0,0,0
"Actinomyces howellii",48,26,38,14,20,12,40,32,28,10,0,16,10,10,0
"Actinomyces lilanjuaniae",40,32,66,16,39,24,64,15,19,12,0,22,31,0,0
"Actinomyces marmotae",49,19,36,12,39,20,34,27,12,14,16,17,0,0,0
"Actinomyces naeslundii",315,67,178,61,48,142,87,175,86,28,120,68,26,0,0
"Actinomyces oris",777,600,533,183,339,122,229,340,66,68,523,0,0,93,0
"Actinomyces pacaensis",44,38,33,17,40,26,49,31,26,14,17,11,0,0,0
